project_key,branch_id,project_leader,project_coordinator,project_type,status,source
100117,3-40,Theresa Kennedy,Carol Ferrell,Survey - Geomatics,Active,Sole Source
100118,1-40,Brandon Hampton,Carol Ferrell,Land Development,Active,Sole Source
100119,1-40,Brandon Hampton,Carol Ferrell,Land Development,Active,Sole Source
100120,3-40,Theresa Kennedy,Denise Lane,Survey - Legal,Active,Sole Source
100121,3-40,Theresa Kennedy,Denise Lane,Survey - Legal,Active,Sole Source
100122,1-40,Frederick Brewer,Carol Ferrell,Infrastructure / Engineering,Inactive,Sole Source
100123,1-65,Charles Barber,Miss Carolyn Harris DDS,Transportation,Active,Sole Source
100124,1-65,Charles Barber,Miss Carolyn Harris DDS,Transportation,Active,Sole Source
100125,1-35,Alyssa Marquez,Jessica Key,Planning,Active,Sole Source
100126,1-61,Elijah Barnes,Paul Macias,Transportation,Active,RFP
100127,1-10,Erika Huang,Lisa Thomas,Transportation,Active,Sole Source
100128,1-40,Mackenzie Lopez,Gregory Cruz,Land Development,Active,Sole Source
100129,1-60,Joel Carroll,Yvonne Mathis,Planning,Active,Sole Source
100130,1-10,Kimberly Ellis,Mary White,Communication & Engagement,Active,Sole Source
100131,1-40,Danielle Martinez,Ashley Black,Stormwater,Active,Sole Source
100132,1-20,Calvin Buckley,Zachary Johnson,General Services,Active,Sole Source
100133,1-40,Manuel Williams,Gregory Cruz,General Services,Active,Sole Source
100134,1-40,Chelsea Ramos,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
100135,1-40,Chelsea Ramos,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
100136,1-40,Manuel Williams,Gregory Cruz,Landscape Architecture,Inactive,RFP
100137,1-10,Christopher Williams,Mary White,General Services,Active,Sole Source
100138,1-61,Amanda Smith,Paul Macias,Planning,Active,Sole Source
100139,1-40,Courtney Morrow,Gregory Newman,Transportation,Active,RFP
100140,1-65,Kathy Yoder,Miss Carolyn Harris DDS,Transportation,Active,Sole Source
100141,1-40,Manuel Williams,Gregory Cruz,Landscape Architecture,Inactive,RFP
100142,1-20,Rachel Lawrence,Zachary Johnson,Water & Wastewater,Active,Sole Source
100143,1-40,Danielle Martinez,Ashley Black,Planning,Active,Sole Source
100144,1-40,Kevin Nelson,Gregory Cruz,Land Development,Active,Sole Source
100145,1-40,Kevin Nelson,Gregory Cruz,Land Development,Active,Sole Source
100146,1-30,Kimberly Barrett,Kimberly Abbott,Water & Wastewater,Active,Sole Source
100147,1-30,Kimberly Barrett,Kimberly Abbott,Infrastructure / Engineering,Active,Sole Source
100148,1-62,Shannon Watson,Rebecca Hall,Infrastructure / Engineering,Active,Sole Source
100149,1-70,Eric Evans,Joseph Johnson,Stormwater,Active,Sole Source
100150,1-70,Kevin Mitchell,Joseph Johnson,Infrastructure / Engineering,Active,Sole Source
100151,1-70,Eric Evans,Joseph Johnson,Stormwater,Active,Sole Source
100152,1-70,Eric Evans,Joseph Johnson,Stormwater,Active,Sole Source
100153,1-40,Manuel Williams,Gregory Cruz,Planning,Inactive,Sole Source
100154,1-70,Sean Rogers,Christine Rubio,Planning,Active,Sole Source
100155,1-40,Steven Schroeder,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
100156,1-40,Timothy Thornton,Gregory Newman,Infrastructure / Engineering,Active,Sole Source
100157,1-40,Mary Brown,Gregory Newman,Transportation,Active,Sole Source
100158,1-40,Mackenzie Lopez,Gregory Cruz,Land Development,Active,Sole Source
100159,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100160,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100161,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100162,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100163,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100164,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100165,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100166,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100167,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100168,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100169,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100170,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100171,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100172,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100173,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100174,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100175,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100176,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100177,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100178,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100179,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100180,3-40,Teresa Wallace,Carol Ferrell,Survey - Legal,Active,Sole Source
100181,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100182,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100183,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100184,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100185,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100186,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100187,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100188,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100189,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100190,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100191,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100192,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100193,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100194,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100195,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100196,1-61,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100197,1-20,Steven Merritt,Zachary Johnson,Water & Wastewater,Active,Sole Source
100198,5-00,Fernando Hernandez,Kyle Stephenson,General Services,Active,Sole Source
100199,5-00,Fernando Hernandez,Kyle Stephenson,General Services,Active,Sole Source
100200,5-00,Fernando Hernandez,Kyle Stephenson,General Services,Inactive,Sole Source
100201,5-00,Fernando Hernandez,Kyle Stephenson,General Services,Inactive,Sole Source
100202,1-61,Elijah Barnes,Paul Macias,Transportation,Active,Sole Source
100203,1-00,Evan Robinson,Melinda Henderson,General Services,Active,Sole Source
100204,1-65,Deborah Mitchell,Miss Carolyn Harris DDS,Transportation,Active,Sole Source
100205,1-40,Veronica Murphy,Gregory Newman,Infrastructure / Engineering,Inactive,Sole Source
100206,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100207,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100208,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100209,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100210,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100211,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100212,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100213,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100214,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100215,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100216,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100217,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100218,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100219,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100220,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100221,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100222,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100223,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100224,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100225,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100226,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100227,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100228,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100229,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100230,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100231,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100232,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100233,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100234,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100235,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100236,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100237,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100238,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100239,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100240,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100241,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100242,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100243,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100244,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100245,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100246,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100247,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100248,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100249,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100250,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100251,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100252,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100253,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100254,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100255,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100256,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100257,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100258,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100259,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100260,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100261,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100262,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100263,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100264,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100265,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100266,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100267,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100268,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100269,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100270,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100271,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100272,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100273,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100274,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100275,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100276,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100277,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100278,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100279,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100280,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100281,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100282,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100283,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100284,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100285,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100286,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100287,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100288,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100289,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100290,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100291,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100292,1-35,Brandy Price,Jessica Key,Information Technology,Active,Sole Source
100293,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100294,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100295,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100296,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100297,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100298,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100299,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100300,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100301,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100302,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100303,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100304,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100305,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100306,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100307,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100308,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100309,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100310,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100311,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100312,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100313,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100314,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100315,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100316,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100317,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100318,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100319,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100320,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100321,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100322,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100323,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100324,1-40,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100325,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100326,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100327,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100328,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100329,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100330,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100331,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100332,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100333,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100334,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100335,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100336,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100337,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100338,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100339,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100340,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100341,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100342,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100343,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100344,1-00,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100345,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100346,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100347,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100348,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100349,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100350,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100351,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100352,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100353,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100354,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100355,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100356,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100357,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100358,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100359,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100360,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100361,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100362,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100363,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100364,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100365,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100366,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
100367,1-20,Brandy Price,Brandy Price,Information Technology,Active,Sole Source
