employee_id,employee_name,hire_date,branch_id,coach,target_ratio,rate,status,termination_date,termination_reason,employee_type,labour_category,partner
10020,Erin Kelley,2008-05-01,1-40,Kathryn Cook,85,360,Active,,,Permanent - Salary,Engineering & Technical,0
10021,Timothy Carter,2023-05-01,1-40,Steven Schroeder,90,190,Terminated,2024-05-01,Voluntary,Temporary - Other Hourly,Engineering & Technical,0
10022,Julie Taylor MD,2014-02-01,1-40,Timothy Anderson,80,355,Active,,,Permanent - Salary,Engineering & Technical,0
10023,Brandon Wiggins,2016-03-01,1-70,Zoe Mcintyre,85,320,Active,,,Permanent - Salary,Engineering & Technical,0
10024,Tara Moore,2019-01-01,1-65,Julie Ferguson,85,330,Active,,,Permanent - Salary,Engineering & Technical,0
10025,Melissa Martinez,2021-05-01,1-30,Ricardo Curry,80,360,Active,,,Permanent - Salary,Project Management & Consulting,0
10026,Christopher Carlson,2021-08-01,1-62,Shannon Watson,80,320,Inactive,,,Permanent - Salary,Landscape Architecture,0
10027,Sarah Christensen,2021-09-01,1-60,William Burke,85,330,Active,,,Permanent - Salary,Engineering & Technical,0
10028,Michael Trujillo,2024-01-01,1-70,Olivia Stephens,50,245,Active,,,Permanent - Salary,Planning,0
10029,Madeline Frank,2019-06-01,1-60,Joseph Hebert,80,375,Active,,,Permanent - Salary,Project Management & Consulting,0
10030,Janet Horton,2024-07-01,1-00,Scott Howard,0,150,Active,,,Permanent - Salary,Administration Finance & HR,0
10031,Janice Smith,2017-03-01,1-10,Unknown,75,385,Active,,,Permanent - Salary,Engineering & Technical,0
10032,Amanda Smith,2004-06-01,1-00,Brittney Banks,20,410,Active,,,Permanent - Salary,Project Management & Consulting,0
10033,Cory Tate,2019-01-01,1-70,Donna Brown,80,320,Active,2024-08-01,Voluntary,Permanent - Salary,Project Management & Consulting,0
10034,Kelly Williams,2021-03-01,1-40,Alexandra Bauer,85,375,Terminated,2024-08-01,Voluntary,Permanent - Salary,Engineering & Technical,0
10035,Nathan Watson,2024-09-01,1-40,Brandon Hampton,90,220,Active,,,Permanent - Salary,Engineering & Technical,0
10036,Joseph Lopez,2024-09-01,1-40,Bryan Flores,90,275,Active,,,Permanent - Salary,Engineering & Technical,0
10037,Teresa Torres,2022-04-01,1-60,Sherri Roberson,90,255,Active,,,Permanent - Salary,Engineering & Technical,0
10038,Joanna Castro,2021-04-01,1-55,Trevor George,65,280,Active,,,Permanent - Salary,Planning,0
10039,Robert Mitchell,2024-05-01,1-60,Jenny Schmitt,80,225,Active,,,Permanent - Salary,Planning,0
10040,Amanda Roy,2024-09-01,1-60,Sherri Roberson,90,175,Active,,,Temporary - Other Hourly,Engineering & Technical,0
10041,James Gonzalez,2024-08-01,1-60,Anthony Harrington,90,245,Active,,,Permanent - Salary,Engineering & Technical,0
10042,Bailey Carr,1995-07-01,1-65,Bailey Carr,60,800,Active,2023-11-01,Retired,Permanent - Salary,Project Management & Consulting,1
10043,Leslie Schroeder,2017-07-01,1-65,Monica Alexander,85,350,Active,2023-11-01,Voluntary,Permanent - Salary,Engineering & Technical,0
10044,Monica Brown,2021-05-01,1-35,Ashley Stanley,75,290,Active,2024-06-01,Voluntary,Permanent - Salary,Planning,0
10045,Katherine Brown,2012-05-01,1-00,Christine Day,0,335,Active,,,Permanent - Salary,Communications IT & Design,0
10046,David Villanueva,2024-09-01,1-60,James Nichols,70,180,Active,,,Temporary - Other Hourly,Administration Finance & HR,0
10047,Alexa Castillo,2019-05-01,1-00,Scott Howard,0,205,Active,,,Permanent - Salary,Administration Finance & HR,0
10048,Jacob Tucker,2023-04-01,1-40,Greg Wright,85,400,Active,,,Temporary - Other Hourly,Engineering & Technical,0
10049,Tammie Jones,2018-02-01,1-10,George Holden,75,245,Active,2023-12-01,Voluntary,Permanent - Salary,Project Management & Consulting,0
10050,Krista Chan,2022-02-01,1-60,John Ortega,35,195,Active,2023-12-01,Dismissal,Permanent - Salary,Project Management & Consulting,0
10051,Roger Martinez,2000-04-01,1-80,Toni Anderson,10,615,Inactive,,,Permanent - Salary,Landscape Architecture,0
10052,John Brown,2024-01-01,1-80,Jessica Chen,65,230,Active,,,Permanent - Salary,Engineering & Technical,0
10053,Jason Jones,2020-03-01,1-60,Sean Watkins,60,270,Active,,,Permanent - Salary,Communications IT & Design,0
10054,Kevin Rivera,2008-09-01,1-10,Terry Sullivan,0,340,Active,2024-05-01,Dismissal,Permanent - Salary,Project Management & Consulting,0
10055,Karen Marsh,2016-09-01,1-55,Terry Sullivan,50,405,Active,,,Permanent - Salary,Planning,0
10056,Angela Edwards,2021-08-01,1-40,Kimberly Garcia,85,295,Inactive,,,Permanent - Salary,Engineering & Technical,0
10057,Joshua Galloway,2024-05-01,1-70,Maurice Smith,85,320,Active,,,Permanent - Salary,Engineering & Technical,0
10058,Nicholas Olson,2024-06-01,1-10,Cynthia Benton,75,215,Active,,,Permanent - Salary,Engineering & Technical,0
10059,Kathy Glover,2020-11-01,1-20,Calvin Buckley,80,290,Inactive,,,Permanent - Salary,Engineering & Technical,0
10060,Randy Anderson,2024-07-01,1-60,Rachael Calhoun,80,235,Active,,,Permanent - Salary,Planning,0
10061,Jeffrey Moore,2019-06-01,1-70,Zoe Mcintyre,85,285,Terminated,2024-07-01,Voluntary,Permanent - Salary,Engineering & Technical,0
10062,Michael Bartlett,2019-08-01,1-70,Louis Johnson,80,290,Active,2024-08-01,Voluntary,Permanent - Salary,Planning,0
10063,James Miller,2024-01-01,1-55,Jimmy Obrien,75,225,Active,,,Permanent - Salary,Project Management & Consulting,0
10064,Brandon Duran,2024-09-01,1-40,Brandi Hunt,90,220,Active,,,Permanent - Salary,Project Management & Consulting,0
10065,Abigail Johnson,2024-09-01,1-61,Amber Gardner,85,205,Active,,,Temporary - Other Hourly,Engineering & Technical,0
10066,Nicole Kim,1993-08-01,1-40,Unknown,75,470,Inactive,,,Permanent - Salary,Engineering & Technical,1
10067,Jon Miller,2010-01-01,1-00,Kevin Rivera,50,180,Active,,,Permanent - Salary,Communications IT & Design,0
10068,Sherri Roberson,2019-06-01,1-10,Christopher Williams,80,350,Active,,,Permanent - Salary,Engineering & Technical,0
10069,Anthony Walls,2022-06-01,1-10,Eric Moore,0,245,Active,,,Permanent - Salary,Project Management & Consulting,0
10070,Sean Burns,2024-01-01,1-10,Anthony Walls,20,200,Active,,,Permanent - Salary,Project Management & Consulting,0
10071,Jessica Sanchez,2020-01-01,1-00,Dawn Haas,0,235,Active,,,Permanent - Salary,Project Management & Consulting,0
10072,Darryl Allen,2023-08-01,1-61,Nancy Buchanan,85,255,Active,,,Permanent - Salary,Planning,0
10073,Michael Jimenez,2013-05-01,1-70,Rick Wood,85,295,Inactive,,,Permanent - Salary,Engineering & Technical,0
10074,Justin Campbell,2023-11-01,1-40,Gregory Cruz,70,200,Terminated,2024-09-01,Voluntary,Permanent - Salary,Project Management & Consulting,0
10075,Joshua Davis,2024-01-01,1-55,Timothy Rich MD,75,215,Active,,,Permanent - Salary,Communications IT & Design,0
10076,Marc Acosta DDS,2024-05-01,1-80,Matthew Murray,50,195,Terminated,2024-08-01,Voluntary,Temporary - Other Hourly,Engineering & Technical,0
10077,Daniel Tran,1988-04-01,1-61,Phillip Wallace,70,590,Active,,,Permanent - Salary,Planning,0
10078,Dawn Haas,2001-03-01,1-00,Tamara Avila,0,405,Active,,,Permanent - Salary,Project Management & Consulting,0
10079,Doris Jones,2021-05-01,1-60,Joseph Hebert,95,295,Active,,,Temporary - Other Hourly,Engineering & Technical,0
10080,Joel Lee,2023-01-01,1-40,Ashley Osborn,80,215,Terminated,2024-04-01,Dismissal,Permanent - Salary,Planning,0
10081,Samuel Campbell,2021-05-01,1-20,Shane Garcia,70,340,Active,,,Permanent - Salary,Project Management & Consulting,0
10082,Jessica Beck MD,2023-08-01,1-60,William Burke,90,265,Active,,,Permanent - Salary,Engineering & Technical,0
10083,Aaron Miller,2024-05-01,1-10,Daniel Moss,90,235,Active,,,Permanent - Salary,Engineering & Technical,0
10084,Vanessa Pierce,2023-01-01,1-60,Nicholas Montgomery,90,215,Terminated,2024-05-01,Voluntary,Permanent - Salary,Engineering & Technical,0
10085,Joshua Shepherd,2017-05-01,1-61,Brittney Banks,70,225,Terminated,2024-09-01,Dismissal,Permanent - Salary,Project Management & Consulting,0
10086,Joseph Dean,2018-04-01,1-20,Rachel Lawrence,80,320,Active,,,Permanent - Salary,Engineering & Technical,0
10087,Bradley Spencer,2023-07-01,1-00,Unknown,0,270,Active,,,Permanent - Salary,Communications IT & Design,0
10088,Melinda Garcia,2021-06-01,1-70,Rick Wood,90,195,Terminated,2021-10-01,Voluntary,Permanent - Salary,Engineering & Technical,0
10089,Regina Parsons,2023-09-01,1-55,Michelle George,65,345,Terminated,2024-06-01,Voluntary,Permanent - Salary,Project Management & Consulting,0
10090,Jenny Schmitt,2020-10-01,1-60,Joel Carroll,75,450,Active,,,Permanent - Salary,Planning,0
10091,Mark Schwartz,2005-03-01,1-60,Melissa Hood,65,635,Active,,,Permanent - Salary,Engineering & Technical,1
10092,Deborah Mitchell,2003-11-01,1-65,Bailey Carr,60,585,Active,,,Permanent - Salary,Engineering & Technical,1
10093,Jennifer Mora,2020-05-01,1-70,Mrs. Sara Li,90,450,Active,,Retired,Temporary - Term,Engineering & Technical,0
10094,Timothy Herrera,1991-01-01,1-00,Amanda Flores,0,245,Active,,,Permanent - Salary,Administration Finance & HR,0
10095,Kevin Mitchell,1992-05-01,1-70,Phillip Wallace,75,340,Active,,,Permanent - Salary,Landscape Architecture,0
10096,Michael Neal,2022-01-01,1-70,Thomas Patel,80,530,Active,,,Temporary - Other Hourly,Engineering & Technical,0
10097,Toni Anderson,1994-03-01,1-80,Roger Martinez,65,605,Active,,,Permanent - Salary,Engineering & Technical,1
10098,Sarah Baker,1994-09-01,1-70,Thomas Patel,65,555,Active,,,Permanent - Salary,Engineering & Technical,1
10099,Jonathan Tyler,1995-06-01,1-60,Melissa Hood,70,460,Active,,,Permanent - Salary,Engineering & Technical,1
10100,Christopher Brooks,1995-10-01,1-70,Zoe Mcintyre,75,410,Active,,,Permanent - Salary,Project Management & Consulting,1
10101,Trevor Everett,1996-05-01,1-70,Cathy Mora,85,500,Active,,,Permanent - Salary,Engineering & Technical,0
10102,Joseph Johnson,1997-04-01,1-70,Christina Torres,40,240,Active,,,Permanent - Salary,Project Management & Consulting,0
10103,Christina Burton,1997-06-01,1-60,Bailey Carr,75,420,Active,,,Permanent - Salary,Engineering & Technical,0
10104,Zoe Mcintyre,1998-04-01,1-70,Phillip Wallace,70,565,Active,,,Permanent - Salary,Engineering & Technical,1
10105,Dana Davis,1998-04-01,1-70,Thomas Patel,65,710,Active,,,Permanent - Salary,Planning,1
10106,James Cooper,1998-09-01,1-60,Kylie Palmer,60,680,Active,,,Permanent - Salary,Engineering & Technical,1
10107,Tanya Weaver,1999-02-01,1-00,Amanda Flores,0,240,Active,,,Permanent - Salary,Administration Finance & HR,0
10108,Eric Evans,1999-03-01,1-70,Louis Johnson,75,570,Active,,,Permanent - Salary,Project Management & Consulting,1
10109,Mark Rivera,1999-06-01,1-70,Trevor Everett,90,320,Active,,,Permanent - Salary,Engineering & Technical,0
10110,Ian Jackson,2000-06-01,1-80,Toni Anderson,45,725,Active,,,Permanent - Salary,Engineering & Technical,1
10111,Joel Carroll,2000-07-01,1-60,Melissa Hood,65,770,Active,,,Permanent - Salary,Planning,1
10112,Christina Cordova,2001-10-01,1-80,Ian Jackson,70,545,Active,,,Permanent - Salary,Planning,1
10113,Melissa Hood,2001-12-01,1-60,Charles Anderson,70,600,Active,,,Permanent - Salary,Engineering & Technical,0
10114,Michael Harris,2002-01-01,1-70,Kevin Mitchell,90,235,Active,,,Permanent - Salary,Engineering & Technical,0
10115,Dennis Francis,2002-01-01,1-00,Kylie Palmer,10,445,Active,,,Permanent - Salary,Administration Finance & HR,1
10116,Dennis Thompson,2001-09-01,1-70,Zoe Mcintyre,75,455,Active,,,Permanent - Salary,Planning,1
10117,Deborah Hoover,2003-01-01,1-15,Sabrina Haney,60,580,Active,,,Permanent - Salary,Engineering & Technical,1
10118,Joseph Hayes,2003-02-01,1-70,Zoe Mcintyre,80,365,Active,,,Permanent - Salary,Engineering & Technical,0
10119,Brett Lopez,2003-05-01,1-60,Marc Page,80,555,Active,,,Permanent - Salary,Engineering & Technical,1
10120,Lisa Harris,2003-09-01,1-70,Thomas Patel,65,515,Active,,,Permanent - Salary,Planning,0
10121,Maurice Smith,2004-05-01,1-70,Thomas Patel,75,505,Active,,,Permanent - Salary,Engineering & Technical,1
10122,Jessica Chen,2004-07-01,1-80,Ian Jackson,70,545,Active,,,Permanent - Salary,Engineering & Technical,1
10123,Rick Wood,2008-07-01,1-70,Denise Thompson,75,410,Active,,,Permanent - Salary,Engineering & Technical,1
10124,Christine Day,2005-01-01,1-00,Kylie Palmer,0,280,Active,,,Permanent - Salary,Communications IT & Design,0
10125,Sara Robinson,2005-09-01,1-65,Julie Ferguson,85,370,Active,,,Permanent - Salary,Engineering & Technical,0
10126,Karen Park,2005-11-01,1-15,Deborah Hoover,75,400,Active,,,Permanent - Salary,Engineering & Technical,1
10127,Kurt Schmitt,2008-06-01,1-70,Zoe Mcintyre,75,450,Active,,,Permanent - Salary,Engineering & Technical,1
10128,Sydney Williams,2006-06-01,1-15,Deborah Hoover,60,535,Active,,,Permanent - Salary,Engineering & Technical,1
10129,Adam Campbell,2014-09-01,1-70,Lindsay Woods,75,465,Active,,,Permanent - Salary,Engineering & Technical,0
10130,Steven Nguyen,2006-10-01,1-65,Joel Carroll,35,405,Active,,,Permanent - Salary,Engineering & Technical,0
10131,Jason Smith,2007-02-01,1-00,Amanda Flores,0,190,Active,,,Permanent - Salary,Administration Finance & HR,0
10132,Sean Rogers,2007-02-01,1-70,Dennis Thompson,75,330,Active,,,Permanent - Salary,Engineering & Technical,0
10133,John Ortega,2007-06-01,1-60,Denise Thompson,0,345,Active,,,Permanent - Salary,Administration Finance & HR,0
10134,Ernest Fuller,2011-05-01,1-80,Jessica Chen,65,520,Active,,,Permanent - Salary,Engineering & Technical,1
10135,Michelle Navarro,2008-01-01,1-70,Sarah Baker,70,480,Active,,,Permanent - Salary,Engineering & Technical,1
10136,Maurice Montgomery MD,2008-02-01,1-70,Lisa Harris,75,385,Active,,,Permanent - Salary,Environmental Health & Safety,1
10137,Renee Collins,2008-06-01,1-60,Joseph Hebert,75,355,Active,,,Permanent - Salary,Project Management & Consulting,0
10138,Denise Thompson,2008-08-01,1-70,Bailey Carr,45,575,Active,,,Permanent - Salary,Engineering & Technical,1
10139,Charles Snyder,2009-03-01,1-65,Deborah Mitchell,85,325,Active,,,Permanent - Salary,Engineering & Technical,0
10140,Diane Peterson,2009-11-01,1-00,Amanda Flores,0,245,Active,,,Permanent - Salary,Administration Finance & HR,0
10141,Manuel Williams,2009-11-01,1-70,Phillip Wallace,75,395,Active,,,Permanent - Salary,Landscape Architecture,1
10142,Steven Alexander,2010-01-01,1-00,Julie Ferguson,0,375,Active,,,Permanent - Salary,Communications IT & Design,0
10143,Stephanie Herrera,2012-05-01,1-70,Zoe Mcintyre,75,420,Active,,,Permanent - Salary,Engineering & Technical,0
10144,Louis Johnson,2010-05-01,1-70,Lisa Harris,60,500,Active,,,Permanent - Salary,Planning,1
10145,Darren Lewis,2010-06-01,1-60,Denise Thompson,75,430,Active,,,Permanent - Salary,Engineering & Technical,1
10146,Kyle Beard,2011-02-01,1-70,Trevor Everett,90,310,Active,,,Permanent - Salary,Engineering & Technical,0
10147,Lindsay Woods,2011-02-01,1-70,Sarah Baker,65,450,Active,,,Permanent - Salary,Engineering & Technical,1
10148,Tina Fernandez,2011-05-01,1-80,Ian Jackson,70,340,Active,,,Permanent - Salary,Engineering & Technical,0
10149,Kathy Yoder,2012-03-01,1-65,Bailey Carr,75,475,Active,,,Permanent - Salary,Engineering & Technical,1
10150,Eric Espinoza,2012-10-01,1-15,Deborah Hoover,75,260,Active,,,Permanent - Salary,Engineering & Technical,0
10151,Joseph Hebert,2012-11-01,1-60,Marc Page,60,510,Active,,,Permanent - Salary,Engineering & Technical,1
10152,Heather Miller,2012-12-01,1-60,Joseph Hebert,75,440,Active,,,Permanent - Salary,Project Management & Consulting,1
10153,Robert Malone,2012-12-01,1-60,Kathy Yoder,75,385,Active,,,Permanent - Salary,Planning,1
10154,Colleen Thomas,2014-08-01,1-60,Deborah Mitchell,60,415,Active,,,Permanent - Salary,Engineering & Technical,1
10155,Mrs. Sara Li,2013-02-01,1-70,Denise Thompson,0,300,Active,,,Permanent - Salary,Administration Finance & HR,0
10156,Jimmy Collins,2014-04-01,1-15,Unknown,80,290,Active,,,Permanent - Salary,Engineering & Technical,0
10157,Bonnie Lowe,2013-03-01,1-65,Kathy Yoder,75,420,Active,,,Permanent - Salary,Engineering & Technical,0
10158,Bridget Thompson,2013-09-01,1-60,Frank Patterson,75,330,Active,,,Permanent - Salary,Engineering & Technical,0
10159,Sean Watkins,2013-09-01,1-60,Melissa Hood,65,490,Active,,,Permanent - Salary,Landscape Architecture,0
10160,Kelly Jackson,2014-05-01,1-00,Robert Harris,0,325,Active,,,Permanent - Salary,Project Management & Consulting,1
10161,Julie Ferguson,2014-06-01,1-65,Bailey Carr,75,485,Active,,,Permanent - Salary,Engineering & Technical,1
10162,Ms. Heather Fields,2021-04-01,1-60,Renee Collins,80,320,Active,,,Permanent - Salary,Planning,0
10163,Donna Brown,2015-02-01,1-70,Louis Johnson,75,435,Active,,,Permanent - Salary,Planning,1
10164,Adam Moreno,2019-05-01,1-80,Roger Martinez,85,320,Active,,,Permanent - Salary,Landscape Architecture,0
10165,Christine West,2015-05-01,1-70,Maurice Smith,75,390,Active,,,Permanent - Salary,Engineering & Technical,1
10166,Stephanie Walton,2015-07-01,1-60,Bridget Thompson,80,310,Active,,,Permanent - Salary,Engineering & Technical,0
10167,Morgan Boone,2015-08-01,1-70,Zoe Mcintyre,80,340,Active,,,Permanent - Salary,Engineering & Technical,0
10168,Richard Hogan,2015-09-01,1-80,Christina Cordova,50,245,Active,,,Permanent - Salary,Project Management & Consulting,0
10169,Rachael Calhoun,2015-11-01,1-60,Joel Carroll,75,375,Active,,,Permanent - Salary,Planning,0
10170,Michael Jenkins,2015-11-01,1-00,Sarah Rivas,0,235,Active,,,Permanent - Salary,Project Management & Consulting,0
10171,Joseph Sanchez,2016-04-01,1-60,Joel Carroll,70,445,Active,,,Permanent - Salary,Project Management & Consulting,0
10172,Frank Patterson,2016-04-01,1-60,Joel Carroll,70,505,Active,,,Permanent - Salary,Project Management & Consulting,1
10173,James Hart,2016-03-01,1-65,Mark Schwartz,80,440,Active,,,Permanent - Salary,Engineering & Technical,0
10174,Yvonne Mathis,2016-06-01,1-60,John Ortega,10,280,Active,,,Permanent - Salary,Administration Finance & HR,0
10175,Kristen Watson,2016-07-01,1-60,Joel Carroll,75,420,Active,,,Permanent - Salary,Planning,0
10176,Dr. Luis Butler,2018-05-01,1-70,Kurt Schmitt,80,285,Active,,,Permanent - Salary,Engineering & Technical,0
10177,Alex Avery,2016-10-01,1-60,Joel Carroll,75,385,Active,,,Permanent - Salary,Project Management & Consulting,0
10178,Sarah Jimenez,2016-10-01,1-70,Christine Day,0,210,Active,,,Permanent - Salary,Communications IT & Design,0
10179,Jacob Wilson,2016-11-01,1-70,Dennis Thompson,80,290,Active,,,Permanent - Salary,Planning,0
10180,Charles Barber,2018-06-01,1-65,Peter Bray,85,310,Active,,,Permanent - Salary,Engineering & Technical,0
10181,Vincent Wilson,2018-07-01,1-60,Darren Lewis,80,315,Active,,,Permanent - Salary,Engineering & Technical,0
10182,David Hebert,2017-01-01,1-70,Michelle Navarro,80,300,Active,,,Permanent - Salary,Engineering & Technical,0
10183,Alexander Ortega,2017-03-01,1-00,Amanda Flores,0,200,Active,,,Permanent - Salary,Administration Finance & HR,0
10184,Sara Sanchez,2018-05-01,1-70,Lisa Harris,80,310,Active,,,Permanent - Salary,Project Management & Consulting,0
10185,Patricia Wyatt,2017-05-01,1-80,Ian Jackson,85,300,Active,,,Permanent - Salary,Engineering & Technical,0
10186,Robert Leonard Jr.,2017-05-01,1-00,Kelly Jackson,10,235,Active,,,Permanent - Salary,Administration Finance & HR,0
10187,Cody Johnston,2017-07-01,1-60,Joel Carroll,75,385,Active,,,Permanent - Salary,Planning,0
10188,Frank Adams,2017-07-01,1-70,Tammy Alvarez DDS,80,250,Active,,,Permanent - Salary,Planning,0
10189,Madison Murray,2017-08-01,1-00,Andrea Sanchez,0,225,Inactive,,,Permanent - Salary,Administration Finance & HR,0
10190,Amanda Flores,2017-09-01,1-00,Kylie Palmer,0,500,Active,,,Permanent - Salary,Administration Finance & HR,1
10191,Joshua Clark,2017-09-01,1-60,Joseph Hebert,60,265,Active,,,Permanent - Salary,Communications IT & Design,0
10192,Rodney Owen,2017-10-01,1-60,Sean Watkins,75,350,Active,,,Permanent - Salary,Landscape Architecture,0
10193,Ryan Fitzpatrick,2019-09-01,1-65,Julie Ferguson,85,330,Active,,,Permanent - Salary,Engineering & Technical,0
10194,Alejandro French,2018-01-01,1-65,Leslie Schroeder,90,255,Active,,,Permanent - Salary,Engineering & Technical,0
10195,Pedro Holt DDS,2020-02-01,1-65,Monica Alexander,85,340,Active,,,Permanent - Salary,Engineering & Technical,0
10196,Samuel Miller,2018-01-01,1-80,Unknown,80,310,Active,,,Permanent - Salary,Engineering & Technical,0
10197,Ryan Lane,2018-02-01,1-70,Zoe Mcintyre,75,460,Active,,,Permanent - Salary,Engineering & Technical,1
10198,Jessica Arellano,2018-02-01,1-00,Christine Day,0,195,Active,,,Permanent - Salary,Communications IT & Design,0
10199,Caleb Lee,2018-03-01,1-60,Robert Malone,80,245,Active,,,Permanent - Salary,Project Management & Consulting,0
10200,Greg Spears,2018-04-01,1-80,Jessica Chen,85,275,Active,,,Permanent - Salary,Engineering & Technical,0
10201,James Meyers,2018-04-01,1-70,Michelle Navarro,80,345,Active,,,Permanent - Salary,Engineering & Technical,0
10202,Taylor Carpenter,2018-04-01,1-15,Deborah Hoover,85,240,Active,,,Permanent - Salary,Engineering & Technical,0
10203,Benjamin Howard,2020-07-01,1-60,Mark Schwartz,90,290,Active,,,Permanent - Salary,Engineering & Technical,0
10204,Evan Peterson,2020-05-01,1-15,Makayla Campbell,80,310,Active,,,Permanent - Salary,Engineering & Technical,0
10205,Christina Ponce,2018-05-01,1-65,Dennis Francis,60,245,Active,,,Permanent - Salary,Communications IT & Design,0
10206,Anthony Cook,2018-06-01,1-70,Tammy Alvarez DDS,50,240,Active,,,Permanent - Salary,Communications IT & Design,0
10207,Robin Sanchez,2018-08-01,1-65,Kathy Yoder,90,260,Active,,,Permanent - Salary,Engineering & Technical,0
10208,Michael Zavala,2018-11-01,1-70,Louis Johnson,75,345,Active,,,Permanent - Salary,Project Management & Consulting,0
10209,Judy Jones,2019-05-01,1-70,Kyle Beard,90,250,Active,,,Permanent - Salary,Engineering & Technical,0
10210,Jason Romero,2020-01-01,1-60,Frank Patterson,80,270,Active,,,Permanent - Salary,Project Management & Consulting,0
10211,Robert King,2021-01-01,1-60,James Cooper,85,285,Active,,,Permanent - Salary,Engineering & Technical,0
10212,Andrea Sanchez,2019-04-01,1-00,Sarah Rivas,0,190,Active,,,Permanent - Salary,Administration Finance & HR,0
10213,Gabriella Davila,2019-05-01,1-80,Christina Cordova,85,260,Active,,,Permanent - Salary,Planning,0
10214,Martin Brown,2019-05-01,1-80,Ernest Fuller,85,300,Active,,,Permanent - Salary,Engineering & Technical,0
10215,Monica Alexander,2019-05-01,1-65,Deborah Mitchell,70,425,Active,,,Permanent - Salary,Engineering & Technical,0
10216,Kimberly Lamb,2019-06-01,1-70,Lisa Harris,75,405,Active,,,Permanent - Salary,Planning,0
10217,Michael Kramer,2019-06-01,1-80,Richard Hogan,5,195,Inactive,,,Permanent - Salary,Administration Finance & HR,0
10218,Jeffrey Wilkins,2019-07-01,1-00,Amanda Flores,0,360,Active,,,Permanent - Salary,Administration Finance & HR,0
10219,Timothy Newman,2019-07-01,1-60,Jamie Williams,85,280,Active,,,Permanent - Salary,Engineering & Technical,0
10220,Diana Smith,2019-09-01,1-60,William Burke,90,255,Active,,,Permanent - Salary,Engineering & Technical,0
10221,Jared Henry,2020-09-01,1-60,Colleen Thomas,85,280,Active,,,Permanent - Salary,Engineering & Technical,0
10222,Tiffany Craig,2019-10-01,1-70,Kevin Mitchell,90,280,Active,,,Permanent - Salary,Landscape Architecture,0
10223,James Nichols,2019-11-01,1-60,Jenny Schmitt,80,310,Active,,,Permanent - Salary,Project Management & Consulting,0
10224,Jason Jackson,2020-03-01,1-70,Mrs. Sara Li,40,230,Active,,,Permanent - Salary,Administration Finance & HR,0
10225,Hailey Blackwell,2021-01-01,1-70,Christine West,85,305,Active,,,Permanent - Salary,Engineering & Technical,0
10226,Stephanie Murphy,2020-05-01,1-70,Charles Pierce,80,270,Active,,,Permanent - Salary,Engineering & Technical,0
10227,Olivia Sandoval,2021-06-01,1-70,Sarah Baker,85,275,Active,,,Permanent - Salary,Engineering & Technical,0
10228,Brian Butler,2020-10-01,1-60,Cody Johnston,80,265,Active,,,Permanent - Salary,Planning,0
